學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別
113,0001,國立政治大學,01111001,教育學系,D 日,D 博士,94,0,22,30 臺北市,1 一般
113,0001,國立政治大學,01111001,教育學系,D 日,M 碩士,34,0,13,30 臺北市,1 一般
113,0001,國立政治大學,01111001,教育學系,D 日,B 學士,221,10,34,30 臺北市,1 一般
113,0001,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,40,1,15,30 臺北市,1 一般
113,0001,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,87,0,18,30 臺北市,1 一般
113,0001,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,28,1,14,30 臺北市,1 一般
113,0001,國立政治大學,01199Y03,教育學院,D 日,,0,9,0,30 臺北市,1 一般
113,0001,國立政治大學,02211019,宗教研究所,D 日,D 博士,23,0,4,30 臺北市,1 一般
113,0001,國立政治大學,02211019,宗教研究所,D 日,M 碩士,30,7,3,30 臺北市,1 一般
113,0001,國立政治大學,02221020,歷史學系,D 日,D 博士,25,0,3,30 臺北市,1 一般
113,0001,國立政治大學,02221020,歷史學系,D 日,M 碩士,49,0,12,30 臺北市,1 一般
113,0001,國立政治大學,02221020,歷史學系,D 日,B 學士,179,15,25,30 臺北市,1 一般
113,0001,國立政治大學,02221021,台灣史研究所,D 日,D 博士,20,0,2,30 臺北市,1 一般
113,0001,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,57,8,10,30 臺北市,1 一般
113,0001,國立政治大學,02222031,民族學系,D 日,D 博士,14,0,2,30 臺北市,1 一般
113,0001,國立政治大學,02222031,民族學系,D 日,M 碩士,18,0,6,30 臺北市,1 一般
113,0001,國立政治大學,02222031,民族學系,D 日,B 學士,186,11,31,30 臺北市,1 一般
113,0001,國立政治大學,02231022,哲學系,D 日,D 博士,27,0,1,30 臺北市,1 一般
113,0001,國立政治大學,02231022,哲學系,D 日,M 碩士,37,0,7,30 臺北市,1 一般
113,0001,國立政治大學,02231022,哲學系,D 日,B 學士,204,13,27,30 臺北市,1 一般
113,0001,國立政治大學,02299098,亞際文化研究國際碩士學位學程,D 日,M 碩士,3,0,0,30 臺北市,1 一般
113,0001,國立政治大學,02311009,英國語文學系,D 日,D 博士,20,0,2,30 臺北市,1 一般
113,0001,國立政治大學,02311009,英國語文學系,D 日,M 碩士,53,0,15,30 臺北市,1 一般
113,0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,27,0,8,30 臺北市,1 一般
113,0001,國立政治大學,02311009,英國語文學系,D 日,B 學士,283,23,61,30 臺北市,1 一般
