學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,年份
1,國立政治大學,01111001,教育學系,D 日,D 博士,113,109
1,國立政治大學,01111001,教育學系,D 日,M 碩士,28,109
1,國立政治大學,01111001,教育學系,D 日,B 學士,225,109
1,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,45,109
1,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,80,109
1,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,39,109
1,國立政治大學,01199Y03,教育學院,D 日,,-,109
1,國立政治大學,02211019,宗教研究所,D 日,D 博士,27,109
1,國立政治大學,02211019,宗教研究所,D 日,M 碩士,31,109
1,國立政治大學,02221020,歷史學系,D 日,D 博士,26,109
1,國立政治大學,02221020,歷史學系,D 日,M 碩士,64,109
1,國立政治大學,02221020,歷史學系,D 日,B 學士,160,109
1,國立政治大學,02221021,台灣史研究所,D 日,D 博士,19,109
1,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,55,109
1,國立政治大學,02222031,民族學系,D 日,D 博士,15,109
1,國立政治大學,02222031,民族學系,D 日,M 碩士,25,109
1,國立政治大學,02222031,民族學系,D 日,B 學士,178,109
1,國立政治大學,02231022,哲學系,D 日,D 博士,21,109
1,國立政治大學,02231022,哲學系,D 日,M 碩士,44,109
1,國立政治大學,02231022,哲學系,D 日,B 學士,179,109
1,國立政治大學,02311009,英國語文學系,D 日,D 博士,22,109
1,國立政治大學,02311009,英國語文學系,D 日,M 碩士,51,109
1,國立政治大學,02311009,英國語文學系,D 日,B 學士,292,109
1,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,27,109
1,國立政治大學,02311011,日本語文學系,D 日,M 碩士,26,109
1,國立政治大學,02311011,日本語文學系,D 日,B 學士,190,109
1,國立政治大學,02311012,阿拉伯語文學系,D 日,B 學士,195,109
1,國立政治大學,02311014,韓國語文學系,D 日,M 碩士,20,109
1,國立政治大學,02311014,韓國語文學系,D 日,B 學士,138,109
1,國立政治大學,02311015,土耳其語文學系,D 日,B 學士,126,109
1,國立政治大學,02311016,歐洲語文學系,D 日,B 學士,284,109
1,國立政治大學,02311017,斯拉夫語文學系,D 日,M 碩士,12,109
1,國立政治大學,02311017,斯拉夫語文學系,D 日,B 學士,227,109
1,國立政治大學,02311087,東南亞語言與文化學士學位學程,D 日,B 學士,63,109
1,國立政治大學,02321007,台灣文學研究所,D 日,D 博士,13,109
1,國立政治大學,02321007,台灣文學研究所,D 日,M 碩士,45,109
1,國立政治大學,02322008,中國文學系,D 日,D 博士,58,109
1,國立政治大學,02322008,中國文學系,D 日,M 碩士,96,109
1,國立政治大學,02322008,中國文學系,D 日,B 學士,327,109
1,國立政治大學,02322008,中國文學系國文教學碩士在職專班,N 職,M 碩士,79,109
1,國立政治大學,02323002,華語文教學博士學位學程,D 日,D 博士,20,109
