學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,年份
1,國立政治大學,01111001,教育學系,D 日,D 博士,113,109
1,國立政治大學,02211019,宗教研究所,D 日,D 博士,27,109
1,國立政治大學,02221020,歷史學系,D 日,D 博士,26,109
1,國立政治大學,02221021,台灣史研究所,D 日,D 博士,19,109
1,國立政治大學,02222031,民族學系,D 日,D 博士,15,109
1,國立政治大學,02231022,哲學系,D 日,D 博士,21,109
1,國立政治大學,02311009,英國語文學系,D 日,D 博士,22,109
1,國立政治大學,02321007,台灣文學研究所,D 日,D 博士,13,109
1,國立政治大學,02322008,中國文學系,D 日,D 博士,58,109
1,國立政治大學,02323002,華語文教學博士學位學程,D 日,D 博士,20,109
1,國立政治大學,02399018,語言學研究所,D 日,D 博士,8,109
1,國立政治大學,03111024,經濟學系,D 日,D 博士,10,109
1,國立政治大學,03121026,政治學系,D 日,D 博士,27,109
1,國立政治大學,03122045,外交學系,D 日,D 博士,8,109
1,國立政治大學,03131032,心理學系,D 日,D 博士,10,109
1,國立政治大學,03141030,社會學系,D 日,D 博士,16,109
1,國立政治大學,03143028,東亞研究所,D 日,D 博士,37,109
1,國立政治大學,03143036,日本研究博士學位學程,D 日,D 博士,7,109
1,國立政治大學,03143040,亞太研究英語博士學位學程,D 日,D 博士,66,109
1,國立政治大學,03143043,地政學系,D 日,D 博士,17,109
1,國立政治大學,03191047,國家發展研究所,D 日,D 博士,34,109
1,國立政治大學,03211056,傳播學院博士班,D 日,D 博士,39,109
1,國立政治大學,03214051,新聞學系,D 日,D 博士,3,109
1,國立政治大學,03222054,圖書資訊與檔案學研究所,D 日,D 博士,13,109
1,國立政治大學,04111059,會計學系,D 日,D 博士,10,109
1,國立政治大學,04121065,財務管理學系,D 日,D 博士,8,109
1,國立政治大學,04121068,金融學系,D 日,D 博士,29,109
1,國立政治大學,04122070,財政學系,D 日,D 博士,5,109
1,國立政治大學,04123069,風險管理與保險學系,D 日,D 博士,16,109
1,國立政治大學,04131060,企業管理學系,D 日,D 博士,48,109
1,國立政治大學,04134041,公共行政學系,D 日,D 博士,21,109
1,國立政治大學,04141067,國際經營與貿易學系,D 日,D 博士,6,109
1,國立政治大學,04199072,科技管理與智慧財產研究所,D 日,D 博士,27,109
1,國立政治大學,04212073,法律學系,D 日,D 博士,46,109
1,國立政治大學,05411078,應用數學系,D 日,D 博士,9,109
1,國立政治大學,05421079,統計學系,D 日,D 博士,6,109
1,國立政治大學,06131080,資訊管理學系,D 日,D 博士,53,109
1,國立政治大學,06131081,資訊科學系,D 日,D 博士,8,109
1,國立政治大學,06131082,社群網路與人智計算國際研究生博士學位學程,D 日,D 博士,14,109
1,國立政治大學,09231084,社會工作研究所,D 日,D 博士,14,109
2,國立清華大學,01111084,教育與學習科技學系,D 日,D 博士,57,109
2,國立清華大學,02221006,歷史研究所,D 日,D 博士,17,109
2,國立清華大學,02222007,人類學研究所,D 日,D 博士,6,109
2,國立清華大學,02321001,台灣文學研究所,D 日,D 博士,20,109
2,國立清華大學,02321101,臺灣語言研究與教學研究所,D 日,D 博士,25,109
2,國立清華大學,02322003,中國文學系,D 日,D 博士,48,109
2,國立清華大學,02399005,語言學研究所,D 日,D 博士,14,109
2,國立清華大學,03111011,經濟學系,D 日,D 博士,13,109
2,國立清華大學,03131077,教育心理與諮商學系,D 日,D 博士,14,109
2,國立清華大學,03141012,社會學研究所,D 日,D 博士,17,109
2,國立清華大學,04121020,計量財務金融學系,D 日,D 博士,5,109
2,國立清華大學,04199017,科技管理研究所,D 日,D 博士,26,109
2,國立清華大學,04199022,服務科學研究所,D 日,D 博士,15,109
2,國立清華大學,04212024,科技法律研究所,D 日,D 博士,12,109
2,國立清華大學,05121026,生物科技研究所,D 日,D 博士,40,109
2,國立清華大學,05121028,分子與細胞生物研究所,D 日,D 博士,31,109
2,國立清華大學,05121029,生技產業博士學位學程,D 日,D 博士,9,109
2,國立清華大學,05121030,生物資訊與結構生物研究所,D 日,D 博士,46,109
2,國立清華大學,05121072,分子醫學研究所,D 日,D 博士,31,109
2,國立清華大學,05199033,系統神經科學研究所,D 日,D 博士,6,109
2,國立清華大學,05211041,環境科技博士學位學程(台灣聯合大學系統),D 日,D 博士,3,109
2,國立清華大學,05311037,化學系,D 日,D 博士,97,109
2,國立清華大學,05331038,物理學系,D 日,D 博士,68,109
