學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,年份
1,國立政治大學,01111001,教育學系,D 日,B 學士,225,109
1,國立政治大學,02221020,歷史學系,D 日,B 學士,160,109
1,國立政治大學,02222031,民族學系,D 日,B 學士,178,109
1,國立政治大學,02231022,哲學系,D 日,B 學士,179,109
1,國立政治大學,02311009,英國語文學系,D 日,B 學士,292,109
1,國立政治大學,02311011,日本語文學系,D 日,B 學士,190,109
1,國立政治大學,02311012,阿拉伯語文學系,D 日,B 學士,195,109
1,國立政治大學,02311014,韓國語文學系,D 日,B 學士,138,109
1,國立政治大學,02311015,土耳其語文學系,D 日,B 學士,126,109
1,國立政治大學,02311016,歐洲語文學系,D 日,B 學士,284,109
1,國立政治大學,02311017,斯拉夫語文學系,D 日,B 學士,227,109
1,國立政治大學,02311087,東南亞語言與文化學士學位學程,D 日,B 學士,63,109
1,國立政治大學,02322008,中國文學系,D 日,B 學士,327,109
1,國立政治大學,03111024,經濟學系,D 日,B 學士,400,109
1,國立政治大學,03121026,政治學系,D 日,B 學士,229,109
1,國立政治大學,03122045,外交學系,D 日,B 學士,274,109
1,國立政治大學,03131032,心理學系,D 日,B 學士,214,109
1,國立政治大學,03141030,社會學系,D 日,B 學士,213,109
1,國立政治大學,03143043,地政學系,D 日,B 學士,490,109
1,國立政治大學,03211056,傳播學院大一大二不分系,D 日,B 學士,420,109
1,國立政治大學,03213052,廣播電視學系,D 日,B 學士,180,109
1,國立政治大學,03214051,新聞學系,D 日,B 學士,120,109
1,國立政治大學,04111059,會計學系,D 日,B 學士,437,109
1,國立政治大學,04121065,財務管理學系,D 日,B 學士,193,109
1,國立政治大學,04121068,金融學系,D 日,B 學士,250,109
1,國立政治大學,04122070,財政學系,D 日,B 學士,400,109
1,國立政治大學,04123069,風險管理與保險學系,D 日,B 學士,210,109
1,國立政治大學,04131060,企業管理學系,D 日,B 學士,447,109
1,國立政治大學,04131091,創新國際學院學士班,D 日,B 學士,22,109
1,國立政治大學,04134041,公共行政學系,D 日,B 學士,185,109
1,國立政治大學,04141067,國際經營與貿易學系,D 日,B 學士,381,109
1,國立政治大學,04143055,廣告學系,D 日,B 學士,271,109
1,國立政治大學,04211073,法律學系,D 日,B 學士,734,109
1,國立政治大學,05411078,應用數學系,D 日,B 學士,184,109
1,國立政治大學,05421079,統計學系,D 日,B 學士,237,109
1,國立政治大學,06131080,資訊管理學系,D 日,B 學士,337,109
1,國立政治大學,06131081,資訊科學系,D 日,B 學士,220,109
2,國立清華大學,01111112,竹師教育學院學士班,D 日,B 學士,106,109
2,國立清華大學,01113095,特殊教育學系,D 日,B 學士,152,109
2,國立清華大學,01121091,幼兒教育學系,D 日,B 學士,186,109
2,國立清華大學,01131084,教育與學習科技學系,D 日,B 學士,190,109
2,國立清華大學,01131105,英語教學系,D 日,B 學士,153,109
2,國立清華大學,01141090,體育學系,D 日,B 學士,-,109
2,國立清華大學,01141127,運動科學系,D 日,B 學士,176,109
2,國立清華大學,02131098,藝術與設計學系,D 日,B 學士,334,109
2,國立清華大學,02151096,音樂學系,D 日,B 學士,160,109
2,國立清華大學,02191113,藝術學院學士班,D 日,B 學士,80,109
2,國立清華大學,02299010,人文社會學院學士班,D 日,B 學士,369,109
2,國立清華大學,02311002,外國語文學系,D 日,B 學士,207,109
2,國立清華大學,02322003,中國文學系,D 日,B 學士,215,109
2,國立清華大學,02322109,中國語文學系,D 日,B 學士,8,109
2,國立清華大學,03111011,經濟學系,D 日,B 學士,480,109
2,國立清華大學,03131077,教育心理與諮商學系,D 日,B 學士,178,109
2,國立清華大學,04121020,計量財務金融學系,D 日,B 學士,246,109
2,國立清華大學,04199023,科技管理學院學士班,D 日,B 學士,272,109
2,國立清華大學,05111106,應用科學系,D 日,B 學士,10,109
2,國立清華大學,05121025,生命科學系,D 日,B 學士,195,109
2,國立清華大學,05199032,生命科學院學士班,D 日,B 學士,127,109
2,國立清華大學,05211102,環境與文化資源學系,D 日,B 學士,51,109
2,國立清華大學,05311037,化學系,D 日,B 學士,244,109
2,國立清華大學,05331038,物理學系,D 日,B 學士,297,109
2,國立清華大學,05399042,理學院學士班,D 日,B 學士,119,109
2,國立清華大學,05411043,數學系,D 日,B 學士,277,109
2,國立清華大學,05411092,應用數學系,D 日,B 學士,6,109
2,國立清華大學,06131053,資訊工程學系,D 日,B 學士,584,109
