學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,年份
1,國立政治大學,01111001,教育學系,D 日,M 碩士,28,109
1,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,45,109
1,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,80,109
1,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,39,109
1,國立政治大學,02211019,宗教研究所,D 日,M 碩士,31,109
1,國立政治大學,02221020,歷史學系,D 日,M 碩士,64,109
1,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,55,109
1,國立政治大學,02222031,民族學系,D 日,M 碩士,25,109
1,國立政治大學,02231022,哲學系,D 日,M 碩士,44,109
1,國立政治大學,02311009,英國語文學系,D 日,M 碩士,51,109
1,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,27,109
1,國立政治大學,02311011,日本語文學系,D 日,M 碩士,26,109
1,國立政治大學,02311014,韓國語文學系,D 日,M 碩士,20,109
1,國立政治大學,02311017,斯拉夫語文學系,D 日,M 碩士,12,109
1,國立政治大學,02321007,台灣文學研究所,D 日,M 碩士,45,109
1,國立政治大學,02322008,中國文學系,D 日,M 碩士,96,109
1,國立政治大學,02322008,中國文學系國文教學碩士在職專班,N 職,M 碩士,79,109
1,國立政治大學,02323002,華語文教學碩士學位學程,D 日,M 碩士,61,109
1,國立政治大學,02399018,語言學研究所,D 日,M 碩士,29,109
1,國立政治大學,03111024,經濟學系,D 日,M 碩士,103,109
1,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,D 日,M 碩士,30,109
1,國立政治大學,03121026,政治學系,D 日,M 碩士,74,109
1,國立政治大學,03121029,國際事務學院國家安全與大陸研究碩士在職專班,N 職,M 碩士,54,109
1,國立政治大學,03122045,外交學系,D 日,M 碩士,84,109
1,國立政治大學,03122045,外交學系戰略與國際事務碩士在職專班,N 職,M 碩士,61,109
1,國立政治大學,03122046,國際研究英語碩士學位學程,D 日,M 碩士,45,109
1,國立政治大學,03131032,心理學系,D 日,M 碩士,82,109
1,國立政治大學,03131033,輔導與諮商碩士學位學程,D 日,M 碩士,40,109
1,國立政治大學,03141030,社會學系,D 日,M 碩士,65,109
1,國立政治大學,03143023,中東與中亞研究碩士學位學程,D 日,M 碩士,18,109
1,國立政治大學,03143028,東亞研究所,D 日,M 碩士,83,109
1,國立政治大學,03143036,日本研究碩士學位學程,D 日,M 碩士,38,109
1,國立政治大學,03143038,俄羅斯研究所,D 日,M 碩士,30,109
1,國立政治大學,03143040,亞太研究英語碩士學位學程,D 日,M 碩士,45,109
1,國立政治大學,03143043,地政學系,D 日,M 碩士,81,109
1,國立政治大學,03143043,地政學系,N 職,M 碩士,100,109
1,國立政治大學,03143090,土地政策與環境規劃碩士原住民專班,D 日,M 碩士,23,109
1,國立政治大學,03191047,國家發展研究所,D 日,M 碩士,79,109
1,國立政治大學,03199048,勞工研究所,D 日,M 碩士,77,109
1,國立政治大學,03211049,傳播學院傳播碩士學位學程,D 日,M 碩士,237,109
1,國立政治大學,03211050,國際傳播英語碩士學位學程,D 日,M 碩士,53,109
1,國立政治大學,03211056,傳播學院碩士在職專班,N 職,M 碩士,103,109
1,國立政治大學,03222054,圖書資訊與檔案學研究所,D 日,M 碩士,60,109
1,國立政治大學,03222054,圖書資訊與檔案學研究所圖書資訊學數位碩士在職專班,N 職,M 碩士,55,109
1,國立政治大學,04111059,會計學系,D 日,M 碩士,131,109
1,國立政治大學,04121065,財務管理學系,D 日,M 碩士,72,109
1,國立政治大學,04121068,金融學系,D 日,M 碩士,83,109
1,國立政治大學,04122070,財政學系,D 日,M 碩士,78,109
1,國立政治大學,04123069,風險管理與保險學系,D 日,M 碩士,70,109
1,國立政治大學,04131060,企業管理研究所(MBA學位學程),D 日,M 碩士,253,109
1,國立政治大學,04131062,經營管理碩士學程全球華商班(含高階經營班),N 職,M 碩士,504,109
1,國立政治大學,04131064,國際經營管理英語碩士學位學程,D 日,M 碩士,131,109
1,國立政治大學,04134041,公共行政學系,D 日,M 碩士,104,109
1,國立政治大學,04134042,行政管理碩士學程,N 職,M 碩士,347,109
1,國立政治大學,04141067,國際經營與貿易學系,D 日,M 碩士,100,109
1,國立政治大學,04199072,科技管理與智慧財產研究所,D 日,M 碩士,158,109
1,國立政治大學,04211074,法律科際整合研究所,D 日,M 碩士,87,109
1,國立政治大學,04211075,法學院碩士在職專班,N 職,M 碩士,258,109
1,國立政治大學,04212073,法律學系,D 日,M 碩士,247,109
1,國立政治大學,05199083,神經科學研究所,D 日,M 碩士,10,109
1,國立政治大學,05331077,應用物理研究所,D 日,M 碩士,12,109
1,國立政治大學,05411078,應用數學系,D 日,M 碩士,56,109
1,國立政治大學,05421079,統計學系,D 日,M 碩士,61,109
1,國立政治大學,06131080,資訊管理學系,D 日,M 碩士,91,109
1,國立政治大學,06131081,資訊科學系,D 日,M 碩士,125,109
1,國立政治大學,06131081,資訊科學系,N 職,M 碩士,98,109
1,國立政治大學,06134057,數位內容碩士學位學程,D 日,M 碩士,51,109
1,國立政治大學,09231084,社會工作研究所,D 日,M 碩士,66,109
2,國立清華大學,01111084,教育與學習科技學系,D 日,M 碩士,129,109
2,國立清華大學,01111084,教育與學習科技學系碩士在職專班,N 職,M 碩士,195,109
2,國立清華大學,01112083,人力資源與數位學習科技研究所,D 日,M 碩士,3,109
2,國立清華大學,01113095,特殊教育學系,D 日,M 碩士,53,109
2,國立清華大學,01113110,學前特殊教育碩士在職學位學程,N 職,M 碩士,33,109
2,國立清華大學,01115124,華德福教育碩士在職學位學程,N 職,M 碩士,16,109
2,國立清華大學,01121091,幼兒教育學系,D 日,M 碩士,63,109
2,國立清華大學,01121091,幼兒教育學系,N 職,M 碩士,61,109
2,國立清華大學,01131085,數理教育研究所,D 日,M 碩士,71,109
2,國立清華大學,01131085,數理教育研究所,N 職,M 碩士,93,109
2,國立清華大學,01131105,英語教學系,D 日,M 碩士,35,109
2,國立清華大學,01141090,體育學系,D 日,M 碩士,-,109
2,國立清華大學,01141090,體育學系體育碩士在職專班,N 職,M 碩士,-,109
2,國立清華大學,01141098,藝術與設計學系美勞教師碩士在職專班,N 職,M 碩士,46,109
2,國立清華大學,01141127,運動科學系,D 日,M 碩士,52,109
2,國立清華大學,01141127,運動科學系,N 職,M 碩士,54,109
2,國立清華大學,02131098,藝術與設計學系,D 日,M 碩士,81,109
2,國立清華大學,02151096,音樂學系,D 日,M 碩士,74,109
2,國立清華大學,02151096,音樂學系碩士在職專班,N 職,M 碩士,13,109
2,國立清華大學,02221006,歷史研究所,D 日,M 碩士,36,109
2,國立清華大學,02222007,人類學研究所,D 日,M 碩士,38,109
2,國立清華大學,02231008,哲學研究所,D 日,M 碩士,23,109
2,國立清華大學,02299009,亞際文化研究國際碩士學位學程(台灣聯合大學系統),D 日,M 碩士,8,109
2,國立清華大學,02311002,外國語文學系,D 日,M 碩士,31,109
2,國立清華大學,02321001,台灣文學研究所,D 日,M 碩士,44,109
2,國立清華大學,02321101,臺灣語言研究與教學研究所,D 日,M 碩士,66,109
2,國立清華大學,02322003,中國文學系,D 日,M 碩士,81,109
2,國立清華大學,02322109,中國語文學系,D 日,M 碩士,19,109
2,國立清華大學,02322109,中國語文學系碩士在職專班,N 職,M 碩士,23,109
2,國立清華大學,02323114,華文文學研究所,D 日,M 碩士,33,109
2,國立清華大學,02399005,語言學研究所,D 日,M 碩士,46,109
2,國立清華大學,03111011,經濟學系,D 日,M 碩士,51,109
2,國立清華大學,03131077,教育心理與諮商學系,D 日,M 碩士,144,109
