統計期,畢業年,學位,學門,薪資
112年 1月,109年畢業,博士,教育學門,59075.0
112年 1月,110年畢業,博士,教育學門,63513.0
112年 1月,111年畢業,博士,教育學門,62339.0
112年 7月,109年畢業,博士,教育學門,60710.0
112年 7月,110年畢業,博士,教育學門,65531.0
112年 7月,111年畢業,博士,教育學門,62232.0
112年 7月,112年畢業,博士,教育學門,57829.0
113年 1月,109年畢業,博士,教育學門,61697.0
113年 1月,110年畢業,博士,教育學門,69410.0
113年 1月,111年畢業,博士,教育學門,64698.0
113年 1月,112年畢業,博士,教育學門,61255.0
113年 7月,109年畢業,博士,教育學門,61345.0
113年 7月,110年畢業,博士,教育學門,67419.0
113年 7月,111年畢業,博士,教育學門,64775.0
113年 7月,112年畢業,博士,教育學門,67468.0
113年 7月,113年畢業,博士,教育學門,59212.0
114年 1月,109年畢業,博士,教育學門,64045.0
114年 1月,110年畢業,博士,教育學門,62627.0
114年 1月,111年畢業,博士,教育學門,64475.0
114年 1月,112年畢業,博士,教育學門,66129.0
114年 1月,113年畢業,博士,教育學門,62680.0
114年 7月,109年畢業,博士,教育學門,61332.0
114年 7月,110年畢業,博士,教育學門,67200.0
114年 7月,111年畢業,博士,教育學門,65470.0
114年 7月,112年畢業,博士,教育學門,67209.0
114年 7月,113年畢業,博士,教育學門,67302.0
112年 1月,109年畢業,博士,藝術學門,62433.0
112年 1月,110年畢業,博士,藝術學門,68789.0
112年 1月,111年畢業,博士,藝術學門,56556.0
112年 7月,109年畢業,博士,藝術學門,63707.0
112年 7月,110年畢業,博士,藝術學門,68053.0
112年 7月,111年畢業,博士,藝術學門,61546.0
112年 7月,112年畢業,博士,藝術學門,68294.0
113年 1月,109年畢業,博士,藝術學門,64540.0
113年 1月,110年畢業,博士,藝術學門,68256.0
113年 1月,111年畢業,博士,藝術學門,63580.0
113年 1月,112年畢業,博士,藝術學門,74242.0
113年 7月,109年畢業,博士,藝術學門,68116.0
113年 7月,110年畢業,博士,藝術學門,69449.0
113年 7月,111年畢業,博士,藝術學門,69736.0
113年 7月,112年畢業,博士,藝術學門,76187.0
113年 7月,113年畢業,博士,藝術學門,52577.0
114年 1月,109年畢業,博士,藝術學門,63782.0
114年 1月,110年畢業,博士,藝術學門,72066.0
114年 1月,111年畢業,博士,藝術學門,70021.0
114年 1月,112年畢業,博士,藝術學門,82276.0
114年 1月,113年畢業,博士,藝術學門,59792.0
114年 7月,109年畢業,博士,藝術學門,56605.0
114年 7月,110年畢業,博士,藝術學門,71387.0
114年 7月,111年畢業,博士,藝術學門,72605.0
114年 7月,112年畢業,博士,藝術學門,74312.0
114年 7月,113年畢業,博士,藝術學門,58408.0
112年 1月,109年畢業,博士,人文學門,69782.0
112年 1月,110年畢業,博士,人文學門,58096.0
112年 1月,111年畢業,博士,人文學門,58585.0
112年 7月,109年畢業,博士,人文學門,71006.0
112年 7月,110年畢業,博士,人文學門,61413.0
112年 7月,111年畢業,博士,人文學門,62395.0
112年 7月,112年畢業,博士,人文學門,58891.0
113年 1月,109年畢業,博士,人文學門,66861.0
113年 1月,110年畢業,博士,人文學門,61380.0
113年 1月,111年畢業,博士,人文學門,62014.0
113年 1月,112年畢業,博士,人文學門,63461.0
113年 7月,109年畢業,博士,人文學門,69948.0
113年 7月,110年畢業,博士,人文學門,56027.0
113年 7月,111年畢業,博士,人文學門,63555.0
113年 7月,112年畢業,博士,人文學門,57792.0
113年 7月,113年畢業,博士,人文學門,46192.0
114年 1月,109年畢業,博士,人文學門,60785.0
114年 1月,110年畢業,博士,人文學門,54242.0
114年 1月,111年畢業,博士,人文學門,59750.0
114年 1月,112年畢業,博士,人文學門,60794.0
114年 1月,113年畢業,博士,人文學門,53700.0
114年 7月,109年畢業,博士,人文學門,66008.0
114年 7月,110年畢業,博士,人文學門,60170.0
114年 7月,111年畢業,博士,人文學門,62195.0
114年 7月,112年畢業,博士,人文學門,73424.0
114年 7月,113年畢業,博士,人文學門,62830.0
112年 1月,109年畢業,博士,語文學門,57364.0
112年 1月,110年畢業,博士,語文學門,54233.0
112年 1月,111年畢業,博士,語文學門,59837.0
112年 7月,109年畢業,博士,語文學門,59333.0
112年 7月,110年畢業,博士,語文學門,59552.0
112年 7月,111年畢業,博士,語文學門,61589.0
112年 7月,112年畢業,博士,語文學門,67073.0
113年 1月,109年畢業,博士,語文學門,57878.0
113年 1月,110年畢業,博士,語文學門,57209.0
113年 1月,111年畢業,博士,語文學門,60473.0
113年 1月,112年畢業,博士,語文學門,61071.0
113年 7月,109年畢業,博士,語文學門,62463.0
113年 7月,110年畢業,博士,語文學門,61763.0
113年 7月,111年畢業,博士,語文學門,60728.0
113年 7月,112年畢業,博士,語文學門,67691.0
113年 7月,113年畢業,博士,語文學門,
114年 1月,109年畢業,博士,語文學門,60027.0
114年 1月,110年畢業,博士,語文學門,59595.0
114年 1月,111年畢業,博士,語文學門,61838.0
114年 1月,112年畢業,博士,語文學門,67874.0
114年 1月,113年畢業,博士,語文學門,55677.0
114年 7月,109年畢業,博士,語文學門,68814.0
114年 7月,110年畢業,博士,語文學門,64336.0
114年 7月,111年畢業,博士,語文學門,63443.0
114年 7月,112年畢業,博士,語文學門,71613.0
114年 7月,113年畢業,博士,語文學門,57399.0
112年 1月,109年畢業,博士,社會及行為科學學門,61913.0
112年 1月,110年畢業,博士,社會及行為科學學門,63562.0
112年 1月,111年畢業,博士,社會及行為科學學門,65371.0
112年 7月,109年畢業,博士,社會及行為科學學門,60106.0
112年 7月,110年畢業,博士,社會及行為科學學門,66280.0
112年 7月,111年畢業,博士,社會及行為科學學門,66223.0
112年 7月,112年畢業,博士,社會及行為科學學門,65432.0
113年 1月,109年畢業,博士,社會及行為科學學門,61625.0
113年 1月,110年畢業,博士,社會及行為科學學門,67922.0
113年 1月,111年畢業,博士,社會及行為科學學門,70044.0
113年 1月,112年畢業,博士,社會及行為科學學門,67534.0
113年 7月,109年畢業,博士,社會及行為科學學門,63209.0
113年 7月,110年畢業,博士,社會及行為科學學門,69115.0
113年 7月,111年畢業,博士,社會及行為科學學門,71122.0
113年 7月,112年畢業,博士,社會及行為科學學門,68864.0
113年 7月,113年畢業,博士,社會及行為科學學門,68445.0
114年 1月,109年畢業,博士,社會及行為科學學門,65605.0
114年 1月,110年畢業,博士,社會及行為科學學門,72885.0
114年 1月,111年畢業,博士,社會及行為科學學門,75549.0
114年 1月,112年畢業,博士,社會及行為科學學門,69717.0
114年 1月,113年畢業,博士,社會及行為科學學門,67478.0
114年 7月,109年畢業,博士,社會及行為科學學門,63802.0
114年 7月,110年畢業,博士,社會及行為科學學門,69113.0
114年 7月,111年畢業,博士,社會及行為科學學門,75747.0
114年 7月,112年畢業,博士,社會及行為科學學門,70083.0
114年 7月,113年畢業,博士,社會及行為科學學門,71730.0
112年 1月,109年畢業,博士,新聞學及圖書資訊學門,
112年 1月,110年畢業,博士,新聞學及圖書資訊學門,
112年 1月,111年畢業,博士,新聞學及圖書資訊學門,
112年 7月,109年畢業,博士,新聞學及圖書資訊學門,
112年 7月,110年畢業,博士,新聞學及圖書資訊學門,
112年 7月,111年畢業,博士,新聞學及圖書資訊學門,
112年 7月,112年畢業,博士,新聞學及圖書資訊學門,
113年 1月,109年畢業,博士,新聞學及圖書資訊學門,
113年 1月,110年畢業,博士,新聞學及圖書資訊學門,
113年 1月,111年畢業,博士,新聞學及圖書資訊學門,
113年 1月,112年畢業,博士,新聞學及圖書資訊學門,
113年 7月,109年畢業,博士,新聞學及圖書資訊學門,
113年 7月,110年畢業,博士,新聞學及圖書資訊學門,
113年 7月,111年畢業,博士,新聞學及圖書資訊學門,
113年 7月,112年畢業,博士,新聞學及圖書資訊學門,
113年 7月,113年畢業,博士,新聞學及圖書資訊學門,
114年 1月,109年畢業,博士,新聞學及圖書資訊學門,
114年 1月,110年畢業,博士,新聞學及圖書資訊學門,
114年 1月,111年畢業,博士,新聞學及圖書資訊學門,
114年 1月,112年畢業,博士,新聞學及圖書資訊學門,
114年 1月,113年畢業,博士,新聞學及圖書資訊學門,
114年 7月,109年畢業,博士,新聞學及圖書資訊學門,
114年 7月,110年畢業,博士,新聞學及圖書資訊學門,
114年 7月,111年畢業,博士,新聞學及圖書資訊學門,
114年 7月,112年畢業,博士,新聞學及圖書資訊學門,
114年 7月,113年畢業,博士,新聞學及圖書資訊學門,
112年 1月,109年畢業,博士,商業及管理學門,74444.0
112年 1月,110年畢業,博士,商業及管理學門,81915.0
112年 1月,111年畢業,博士,商業及管理學門,72106.0
112年 7月,109年畢業,博士,商業及管理學門,75278.0
112年 7月,110年畢業,博士,商業及管理學門,81840.0
112年 7月,111年畢業,博士,商業及管理學門,74426.0
112年 7月,112年畢業,博士,商業及管理學門,75366.0
113年 1月,109年畢業,博士,商業及管理學門,76936.0
113年 1月,110年畢業,博士,商業及管理學門,81370.0
113年 1月,111年畢業,博士,商業及管理學門,75989.0
113年 1月,112年畢業,博士,商業及管理學門,79818.0
113年 7月,109年畢業,博士,商業及管理學門,79924.0
113年 7月,110年畢業,博士,商業及管理學門,84217.0
113年 7月,111年畢業,博士,商業及管理學門,76605.0
113年 7月,112年畢業,博士,商業及管理學門,85550.0
113年 7月,113年畢業,博士,商業及管理學門,72328.0
114年 1月,109年畢業,博士,商業及管理學門,81704.0
114年 1月,110年畢業,博士,商業及管理學門,85215.0
114年 1月,111年畢業,博士,商業及管理學門,78065.0
114年 1月,112年畢業,博士,商業及管理學門,84402.0
114年 1月,113年畢業,博士,商業及管理學門,72956.0
114年 7月,109年畢業,博士,商業及管理學門,83917.0
114年 7月,110年畢業,博士,商業及管理學門,83078.0
114年 7月,111年畢業,博士,商業及管理學門,77644.0
114年 7月,112年畢業,博士,商業及管理學門,84565.0
114年 7月,113年畢業,博士,商業及管理學門,75516.0
112年 1月,109年畢業,博士,法律學門,
112年 1月,110年畢業,博士,法律學門,
112年 1月,111年畢業,博士,法律學門,
112年 7月,109年畢業,博士,法律學門,
112年 7月,110年畢業,博士,法律學門,
112年 7月,111年畢業,博士,法律學門,
112年 7月,112年畢業,博士,法律學門,
113年 1月,109年畢業,博士,法律學門,
113年 1月,110年畢業,博士,法律學門,
113年 1月,111年畢業,博士,法律學門,
113年 1月,112年畢業,博士,法律學門,
113年 7月,109年畢業,博士,法律學門,
113年 7月,110年畢業,博士,法律學門,
113年 7月,111年畢業,博士,法律學門,
113年 7月,112年畢業,博士,法律學門,
113年 7月,113年畢業,博士,法律學門,
114年 1月,109年畢業,博士,法律學門,
114年 1月,110年畢業,博士,法律學門,
114年 1月,111年畢業,博士,法律學門,
114年 1月,112年畢業,博士,法律學門,
114年 1月,113年畢業,博士,法律學門,
114年 7月,109年畢業,博士,法律學門,
114年 7月,110年畢業,博士,法律學門,
114年 7月,111年畢業,博士,法律學門,
114年 7月,112年畢業,博士,法律學門,
114年 7月,113年畢業,博士,法律學門,
112年 1月,109年畢業,博士,生命科學學門,68366.0
112年 1月,110年畢業,博士,生命科學學門,66793.0
112年 1月,111年畢業,博士,生命科學學門,65228.0
112年 7月,109年畢業,博士,生命科學學門,69326.0
112年 7月,110年畢業,博士,生命科學學門,70101.0
112年 7月,111年畢業,博士,生命科學學門,67985.0
112年 7月,112年畢業,博士,生命科學學門,68765.0
113年 1月,109年畢業,博士,生命科學學門,72196.0
113年 1月,110年畢業,博士,生命科學學門,70183.0
113年 1月,111年畢業,博士,生命科學學門,69616.0
113年 1月,112年畢業,博士,生命科學學門,66706.0
113年 7月,109年畢業,博士,生命科學學門,73943.0
113年 7月,110年畢業,博士,生命科學學門,72663.0
113年 7月,111年畢業,博士,生命科學學門,72946.0
113年 7月,112年畢業,博士,生命科學學門,72211.0
113年 7月,113年畢業,博士,生命科學學門,74328.0
114年 1月,109年畢業,博士,生命科學學門,76945.0
114年 1月,110年畢業,博士,生命科學學門,73648.0
114年 1月,111年畢業,博士,生命科學學門,72985.0
114年 1月,112年畢業,博士,生命科學學門,72636.0
114年 1月,113年畢業,博士,生命科學學門,71770.0
114年 7月,109年畢業,博士,生命科學學門,80197.0
114年 7月,110年畢業,博士,生命科學學門,77023.0
114年 7月,111年畢業,博士,生命科學學門,75269.0
114年 7月,112年畢業,博士,生命科學學門,73636.0
114年 7月,113年畢業,博士,生命科學學門,73072.0
112年 1月,109年畢業,博士,環境學門,
112年 1月,110年畢業,博士,環境學門,
112年 1月,111年畢業,博士,環境學門,
112年 7月,109年畢業,博士,環境學門,
112年 7月,110年畢業,博士,環境學門,
112年 7月,111年畢業,博士,環境學門,
112年 7月,112年畢業,博士,環境學門,
113年 1月,109年畢業,博士,環境學門,
113年 1月,110年畢業,博士,環境學門,
113年 1月,111年畢業,博士,環境學門,
113年 1月,112年畢業,博士,環境學門,
113年 7月,109年畢業,博士,環境學門,
113年 7月,110年畢業,博士,環境學門,
113年 7月,111年畢業,博士,環境學門,
113年 7月,112年畢業,博士,環境學門,
113年 7月,113年畢業,博士,環境學門,
114年 1月,109年畢業,博士,環境學門,
114年 1月,110年畢業,博士,環境學門,
114年 1月,111年畢業,博士,環境學門,
114年 1月,112年畢業,博士,環境學門,
114年 1月,113年畢業,博士,環境學門,
114年 7月,109年畢業,博士,環境學門,
114年 7月,110年畢業,博士,環境學門,
114年 7月,111年畢業,博士,環境學門,
114年 7月,112年畢業,博士,環境學門,
114年 7月,113年畢業,博士,環境學門,
112年 1月,109年畢業,博士,物理、化學及地球科學學門,77598.0
112年 1月,110年畢業,博士,物理、化學及地球科學學門,77765.0
112年 1月,111年畢業,博士,物理、化學及地球科學學門,70129.0
112年 7月,109年畢業,博士,物理、化學及地球科學學門,80830.0
112年 7月,110年畢業,博士,物理、化學及地球科學學門,80614.0
112年 7月,111年畢業,博士,物理、化學及地球科學學門,73277.0
112年 7月,112年畢業,博士,物理、化學及地球科學學門,66253.0
113年 1月,109年畢業,博士,物理、化學及地球科學學門,81838.0
113年 1月,110年畢業,博士,物理、化學及地球科學學門,82402.0
113年 1月,111年畢業,博士,物理、化學及地球科學學門,75158.0
113年 1月,112年畢業,博士,物理、化學及地球科學學門,71408.0
113年 7月,109年畢業,博士,物理、化學及地球科學學門,87010.0
113年 7月,110年畢業,博士,物理、化學及地球科學學門,87338.0
113年 7月,111年畢業,博士,物理、化學及地球科學學門,79294.0
113年 7月,112年畢業,博士,物理、化學及地球科學學門,77195.0
113年 7月,113年畢業,博士,物理、化學及地球科學學門,72460.0
114年 1月,109年畢業,博士,物理、化學及地球科學學門,90518.0
114年 1月,110年畢業,博士,物理、化學及地球科學學門,89511.0
114年 1月,111年畢業,博士,物理、化學及地球科學學門,81468.0
114年 1月,112年畢業,博士,物理、化學及地球科學學門,79185.0
114年 1月,113年畢業,博士,物理、化學及地球科學學門,75881.0
114年 7月,109年畢業,博士,物理、化學及地球科學學門,96341.0
114年 7月,110年畢業,博士,物理、化學及地球科學學門,90386.0
114年 7月,111年畢業,博士,物理、化學及地球科學學門,86488.0
114年 7月,112年畢業,博士,物理、化學及地球科學學門,83703.0
114年 7月,113年畢業,博士,物理、化學及地球科學學門,77546.0
112年 1月,109年畢業,博士,數學及統計學門,
112年 1月,110年畢業,博士,數學及統計學門,
112年 1月,111年畢業,博士,數學及統計學門,
112年 7月,109年畢業,博士,數學及統計學門,
112年 7月,110年畢業,博士,數學及統計學門,
112年 7月,111年畢業,博士,數學及統計學門,
112年 7月,112年畢業,博士,數學及統計學門,
113年 1月,109年畢業,博士,數學及統計學門,
113年 1月,110年畢業,博士,數學及統計學門,
113年 1月,111年畢業,博士,數學及統計學門,
113年 1月,112年畢業,博士,數學及統計學門,
113年 7月,109年畢業,博士,數學及統計學門,
113年 7月,110年畢業,博士,數學及統計學門,
113年 7月,111年畢業,博士,數學及統計學門,
113年 7月,112年畢業,博士,數學及統計學門,
113年 7月,113年畢業,博士,數學及統計學門,
114年 1月,109年畢業,博士,數學及統計學門,
114年 1月,110年畢業,博士,數學及統計學門,
114年 1月,111年畢業,博士,數學及統計學門,
114年 1月,112年畢業,博士,數學及統計學門,
114年 1月,113年畢業,博士,數學及統計學門,70433.0
