統計期,畢業年,學位,學門,薪資
112年 1月,109年畢業,學士,教育學門,37886.0
112年 1月,110年畢業,學士,教育學門,37377.0
112年 1月,111年畢業,學士,教育學門,32716.0
112年 7月,109年畢業,學士,教育學門,36910.0
112年 7月,110年畢業,學士,教育學門,35805.0
112年 7月,111年畢業,學士,教育學門,33603.0
112年 7月,112年畢業,學士,教育學門,31154.0
113年 1月,109年畢業,學士,教育學門,39225.0
113年 1月,110年畢業,學士,教育學門,38806.0
113年 1月,111年畢業,學士,教育學門,37995.0
113年 1月,112年畢業,學士,教育學門,33493.0
113年 7月,109年畢業,學士,教育學門,39224.0
113年 7月,110年畢業,學士,教育學門,38842.0
113年 7月,111年畢業,學士,教育學門,37553.0
113年 7月,112年畢業,學士,教育學門,34813.0
113年 7月,113年畢業,學士,教育學門,32946.0
114年 1月,109年畢業,學士,教育學門,41374.0
114年 1月,110年畢業,學士,教育學門,41045.0
114年 1月,111年畢業,學士,教育學門,40028.0
114年 1月,112年畢業,學士,教育學門,39065.0
114年 1月,113年畢業,學士,教育學門,35802.0
114年 7月,109年畢業,學士,教育學門,41727.0
114年 7月,110年畢業,學士,教育學門,41051.0
114年 7月,111年畢業,學士,教育學門,40069.0
114年 7月,112年畢業,學士,教育學門,38765.0
114年 7月,113年畢業,學士,教育學門,36298.0
112年 1月,109年畢業,學士,藝術學門,32292.0
112年 1月,110年畢業,學士,藝術學門,31147.0
112年 1月,111年畢業,學士,藝術學門,30011.0
112年 7月,109年畢業,學士,藝術學門,33042.0
112年 7月,110年畢業,學士,藝術學門,32070.0
112年 7月,111年畢業,學士,藝術學門,30877.0
112年 7月,112年畢業,學士,藝術學門,30104.0
113年 1月,109年畢業,學士,藝術學門,34417.0
113年 1月,110年畢業,學士,藝術學門,33363.0
113年 1月,111年畢業,學士,藝術學門,32252.0
113年 1月,112年畢業,學士,藝術學門,31312.0
113年 7月,109年畢業,學士,藝術學門,35495.0
113年 7月,110年畢業,學士,藝術學門,34457.0
113年 7月,111年畢業,學士,藝術學門,33283.0
113年 7月,112年畢業,學士,藝術學門,32254.0
113年 7月,113年畢業,學士,藝術學門,31387.0
114年 1月,109年畢業,學士,藝術學門,36751.0
114年 1月,110年畢業,學士,藝術學門,35700.0
114年 1月,111年畢業,學士,藝術學門,34673.0
114年 1月,112年畢業,學士,藝術學門,33629.0
114年 1月,113年畢業,學士,藝術學門,32645.0
114年 7月,109年畢業,學士,藝術學門,37887.0
114年 7月,110年畢業,學士,藝術學門,36728.0
114年 7月,111年畢業,學士,藝術學門,35680.0
114年 7月,112年畢業,學士,藝術學門,34742.0
114年 7月,113年畢業,學士,藝術學門,33557.0
112年 1月,109年畢業,學士,人文學門,34181.0
112年 1月,110年畢業,學士,人文學門,33123.0
112年 1月,111年畢業,學士,人文學門,32229.0
112年 7月,109年畢業,學士,人文學門,34987.0
112年 7月,110年畢業,學士,人文學門,34352.0
112年 7月,111年畢業,學士,人文學門,33205.0
112年 7月,112年畢業,學士,人文學門,31588.0
113年 1月,109年畢業,學士,人文學門,36507.0
113年 1月,110年畢業,學士,人文學門,35802.0
113年 1月,111年畢業,學士,人文學門,34588.0
113年 1月,112年畢業,學士,人文學門,32891.0
113年 7月,109年畢業,學士,人文學門,37743.0
113年 7月,110年畢業,學士,人文學門,37165.0
113年 7月,111年畢業,學士,人文學門,35654.0
113年 7月,112年畢業,學士,人文學門,34139.0
113年 7月,113年畢業,學士,人文學門,32275.0
114年 1月,109年畢業,學士,人文學門,38909.0
114年 1月,110年畢業,學士,人文學門,38787.0
114年 1月,111年畢業,學士,人文學門,37291.0
