統計期,畢業年,學位,學門,薪資
112年 1月,109年畢業,碩士,教育學門,49386.0
112年 1月,110年畢業,碩士,教育學門,48754.0
112年 1月,111年畢業,碩士,教育學門,47183.0
112年 7月,109年畢業,碩士,教育學門,49376.0
112年 7月,110年畢業,碩士,教育學門,48700.0
112年 7月,111年畢業,碩士,教育學門,46711.0
112年 7月,112年畢業,碩士,教育學門,45871.0
113年 1月,109年畢業,碩士,教育學門,51038.0
113年 1月,110年畢業,碩士,教育學門,50388.0
113年 1月,111年畢業,碩士,教育學門,49493.0
113年 1月,112年畢業,碩士,教育學門,49270.0
113年 7月,109年畢業,碩士,教育學門,52638.0
113年 7月,110年畢業,碩士,教育學門,51146.0
113年 7月,111年畢業,碩士,教育學門,50021.0
113年 7月,112年畢業,碩士,教育學門,49563.0
113年 7月,113年畢業,碩士,教育學門,47768.0
114年 1月,109年畢業,碩士,教育學門,53942.0
114年 1月,110年畢業,碩士,教育學門,52784.0
114年 1月,111年畢業,碩士,教育學門,51983.0
114年 1月,112年畢業,碩士,教育學門,51995.0
114年 1月,113年畢業,碩士,教育學門,50393.0
114年 7月,109年畢業,碩士,教育學門,54378.0
114年 7月,110年畢業,碩士,教育學門,53875.0
114年 7月,111年畢業,碩士,教育學門,52592.0
114年 7月,112年畢業,碩士,教育學門,52709.0
114年 7月,113年畢業,碩士,教育學門,51516.0
112年 1月,109年畢業,碩士,藝術學門,44166.0
112年 1月,110年畢業,碩士,藝術學門,42808.0
112年 1月,111年畢業,碩士,藝術學門,41009.0
112年 7月,109年畢業,碩士,藝術學門,44741.0
112年 7月,110年畢業,碩士,藝術學門,42978.0
112年 7月,111年畢業,碩士,藝術學門,40423.0
112年 7月,112年畢業,碩士,藝術學門,40851.0
113年 1月,109年畢業,碩士,藝術學門,46472.0
113年 1月,110年畢業,碩士,藝術學門,44596.0
113年 1月,111年畢業,碩士,藝術學門,42384.0
113年 1月,112年畢業,碩士,藝術學門,42093.0
113年 7月,109年畢業,碩士,藝術學門,47757.0
113年 7月,110年畢業,碩士,藝術學門,45778.0
113年 7月,111年畢業,碩士,藝術學門,43190.0
113年 7月,112年畢業,碩士,藝術學門,42528.0
113年 7月,113年畢業,碩士,藝術學門,42666.0
114年 1月,109年畢業,碩士,藝術學門,49251.0
114年 1月,110年畢業,碩士,藝術學門,47452.0
114年 1月,111年畢業,碩士,藝術學門,44893.0
114年 1月,112年畢業,碩士,藝術學門,44411.0
114年 1月,113年畢業,碩士,藝術學門,43984.0
114年 7月,109年畢業,碩士,藝術學門,50537.0
114年 7月,110年畢業,碩士,藝術學門,48728.0
114年 7月,111年畢業,碩士,藝術學門,45575.0
114年 7月,112年畢業,碩士,藝術學門,45152.0
114年 7月,113年畢業,碩士,藝術學門,44190.0
112年 1月,109年畢業,碩士,人文學門,42714.0
112年 1月,110年畢業,碩士,人文學門,40959.0
112年 1月,111年畢業,碩士,人文學門,41386.0
112年 7月,109年畢業,碩士,人文學門,43276.0
112年 7月,110年畢業,碩士,人文學門,41421.0
112年 7月,111年畢業,碩士,人文學門,40509.0
112年 7月,112年畢業,碩士,人文學門,39781.0
113年 1月,109年畢業,碩士,人文學門,44578.0
113年 1月,110年畢業,碩士,人文學門,43198.0
113年 1月,111年畢業,碩士,人文學門,42993.0
113年 1月,112年畢業,碩士,人文學門,41578.0
113年 7月,109年畢業,碩士,人文學門,45698.0
113年 7月,110年畢業,碩士,人文學門,44181.0
113年 7月,111年畢業,碩士,人文學門,44002.0
113年 7月,112年畢業,碩士,人文學門,42001.0
113年 7月,113年畢業,碩士,人文學門,43959.0
114年 1月,109年畢業,碩士,人文學門,46893.0
114年 1月,110年畢業,碩士,人文學門,46421.0
114年 1月,111年畢業,碩士,人文學門,45280.0
114年 1月,112年畢業,碩士,人文學門,43646.0
114年 1月,113年畢業,碩士,人文學門,44107.0
114年 7月,109年畢業,碩士,人文學門,46723.0
114年 7月,110年畢業,碩士,人文學門,46835.0
114年 7月,111年畢業,碩士,人文學門,45418.0
114年 7月,112年畢業,碩士,人文學門,43799.0
114年 7月,113年畢業,碩士,人文學門,44461.0
112年 1月,109年畢業,碩士,語文學門,43868.0
112年 1月,110年畢業,碩士,語文學門,44433.0
112年 1月,111年畢業,碩士,語文學門,42881.0
112年 7月,109年畢業,碩士,語文學門,42967.0
112年 7月,110年畢業,碩士,語文學門,44532.0
112年 7月,111年畢業,碩士,語文學門,42299.0
112年 7月,112年畢業,碩士,語文學門,40806.0
113年 1月,109年畢業,碩士,語文學門,45116.0
113年 1月,110年畢業,碩士,語文學門,46460.0
113年 1月,111年畢業,碩士,語文學門,44560.0
113年 1月,112年畢業,碩士,語文學門,42633.0
113年 7月,109年畢業,碩士,語文學門,45650.0
113年 7月,110年畢業,碩士,語文學門,46729.0
113年 7月,111年畢業,碩士,語文學門,46109.0
113年 7月,112年畢業,碩士,語文學門,42501.0
113年 7月,113年畢業,碩士,語文學門,42457.0
114年 1月,109年畢業,碩士,語文學門,48090.0
114年 1月,110年畢業,碩士,語文學門,48459.0
114年 1月,111年畢業,碩士,語文學門,48198.0
114年 1月,112年畢業,碩士,語文學門,45477.0
114年 1月,113年畢業,碩士,語文學門,44518.0
114年 7月,109年畢業,碩士,語文學門,47937.0
114年 7月,110年畢業,碩士,語文學門,48647.0
114年 7月,111年畢業,碩士,語文學門,48440.0
114年 7月,112年畢業,碩士,語文學門,45492.0
