統計期,畢業年,學位,細學類代碼,細學類,薪資
113年 1月,110年畢業,博士,07141,電機與電子工程細學類,99387
113年 1月,111年畢業,博士,07141,電機與電子工程細學類,93886
113年 1月,112年畢業,博士,07141,電機與電子工程細學類,90536
113年 7月,110年畢業,博士,07141,電機與電子工程細學類,103498
113年 7月,111年畢業,博士,07141,電機與電子工程細學類,97482
113年 7月,112年畢業,博士,07141,電機與電子工程細學類,94742
113年 7月,113年畢業,博士,07141,電機與電子工程細學類,86015
114年 1月,110年畢業,博士,07141,電機與電子工程細學類,106044
114年 1月,111年畢業,博士,07141,電機與電子工程細學類,99151
114年 1月,112年畢業,博士,07141,電機與電子工程細學類,95822
114年 1月,113年畢業,博士,07141,電機與電子工程細學類,90179
114年 7月,110年畢業,博士,07141,電機與電子工程細學類,109258
114年 7月,111年畢業,博士,07141,電機與電子工程細學類,101801
114年 7月,112年畢業,博士,07141,電機與電子工程細學類,100653
114年 7月,113年畢業,博士,07141,電機與電子工程細學類,95000
114年 7月,114年畢業,博士,07141,電機與電子工程細學類,92063
115年 1月,110年畢業,博士,07141,電機與電子工程細學類,111361
115年 1月,111年畢業,博士,07141,電機與電子工程細學類,102889
115年 1月,112年畢業,博士,07141,電機與電子工程細學類,102324
115年 1月,113年畢業,博士,07141,電機與電子工程細學類,96542
115年 1月,114年畢業,博士,07141,電機與電子工程細學類,95841
113年 1月,110年畢業,碩士,07141,電機與電子工程細學類,75821
113年 1月,111年畢業,碩士,07141,電機與電子工程細學類,71239
113年 1月,112年畢業,碩士,07141,電機與電子工程細學類,67765
113年 7月,110年畢業,碩士,07141,電機與電子工程細學類,78947
113年 7月,111年畢業,碩士,07141,電機與電子工程細學類,73641
113年 7月,112年畢業,碩士,07141,電機與電子工程細學類,68853
113年 7月,113年畢業,碩士,07141,電機與電子工程細學類,66584
114年 1月,110年畢業,碩士,07141,電機與電子工程細學類,81216
114年 1月,111年畢業,碩士,07141,電機與電子工程細學類,75699
114年 1月,112年畢業,碩士,07141,電機與電子工程細學類,71033
114年 1月,113年畢業,碩士,07141,電機與電子工程細學類,68320
114年 7月,110年畢業,碩士,07141,電機與電子工程細學類,85074
114年 7月,111年畢業,碩士,07141,電機與電子工程細學類,78950
114年 7月,112年畢業,碩士,07141,電機與電子工程細學類,74147
114年 7月,113年畢業,碩士,07141,電機與電子工程細學類,70314
114年 7月,114年畢業,碩士,07141,電機與電子工程細學類,69080
115年 1月,110年畢業,碩士,07141,電機與電子工程細學類,86950
115年 1月,111年畢業,碩士,07141,電機與電子工程細學類,81244
115年 1月,112年畢業,碩士,07141,電機與電子工程細學類,76268
115年 1月,113年畢業,碩士,07141,電機與電子工程細學類,73340
115年 1月,114年畢業,碩士,07141,電機與電子工程細學類,70048
113年 1月,110年畢業,學士,07141,電機與電子工程細學類,43731
113年 1月,111年畢業,學士,07141,電機與電子工程細學類,39386
113年 1月,112年畢業,學士,07141,電機與電子工程細學類,37006
113年 7月,110年畢業,學士,07141,電機與電子工程細學類,44535
113年 7月,111年畢業,學士,07141,電機與電子工程細學類,41229
113年 7月,112年畢業,學士,07141,電機與電子工程細學類,38334
113年 7月,113年畢業,學士,07141,電機與電子工程細學類,36314
114年 1月,110年畢業,學士,07141,電機與電子工程細學類,46690
114年 1月,111年畢業,學士,07141,電機與電子工程細學類,44472
114年 1月,112年畢業,學士,07141,電機與電子工程細學類,40610
114年 1月,113年畢業,學士,07141,電機與電子工程細學類,39078
114年 7月,110年畢業,學士,07141,電機與電子工程細學類,48358
114年 7月,111年畢業,學士,07141,電機與電子工程細學類,44932
114年 7月,112年畢業,學士,07141,電機與電子工程細學類,42623
114年 7月,113年畢業,學士,07141,電機與電子工程細學類,41152
114年 7月,114年畢業,學士,07141,電機與電子工程細學類,38036
115年 1月,110年畢業,學士,07141,電機與電子工程細學類,50608
115年 1月,111年畢業,學士,07141,電機與電子工程細學類,47309
115年 1月,112年畢業,學士,07141,電機與電子工程細學類,46060
115年 1月,113年畢業,學士,07141,電機與電子工程細學類,43414
115年 1月,114年畢業,學士,07141,電機與電子工程細學類,40838
