領域代碼/名稱,領域簡介,學門代碼/名稱,學門簡介,學類代碼/名稱,學類簡介,細學類代碼/名稱,細學類簡介
01 教育領域,屬於該領域之學類教導學生學習和教學有關的理論、方法、實務及相關的研究、行政和支援服務。,011 教育學門,包括教育學、學前教育、普通科目學科教學、專業科目學科教學等學類。,0111 教育學學類,學習將知識和能力傳授給他人的理論、方法和技能。相關課程及資格包含：教育哲學、教育史、教育心理學、教育社會學、教育行政與政策、教育領導、課程設計與發展、教學原理與方法、學習評量與測驗、教育評鑑及研究等。,01111 綜合教育細學類,培育綜合性的教育人才，發展整合性的教育學術，如教育學、初等教育、中等教育、高等教育、國民教育、教育哲史、文教事業、多元文化教育、比較教育、家庭教育等。
01 教育領域,屬於該領域之學類教導學生學習和教學有關的理論、方法、實務及相關的研究、行政和支援服務。,011 教育學門,包括教育學、學前教育、普通科目學科教學、專業科目學科教學等學類。,0111 教育學學類,學習將知識和能力傳授給他人的理論、方法和技能。相關課程及資格包含：教育哲學、教育史、教育心理學、教育社會學、教育行政與政策、教育領導、課程設計與發展、教學原理與方法、學習評量與測驗、教育評鑑及研究等。,01112 成人教育細學類,培育成人與繼續教育、高齡者教育、終身教育之教學與研究人才，使學生具備從事成人教育之學術研究、方案規劃、教學實施、行政管理、組織發展、人力資源管理及推廣服務等能力，並透過機構資源、學術與實務結合，促進終身學習社會的實現。
01 教育領域,屬於該領域之學類教導學生學習和教學有關的理論、方法、實務及相關的研究、行政和支援服務。,011 教育學門,包括教育學、學前教育、普通科目學科教學、專業科目學科教學等學類。,0111 教育學學類,學習將知識和能力傳授給他人的理論、方法和技能。相關課程及資格包含：教育哲學、教育史、教育心理學、教育社會學、教育行政與政策、教育領導、課程設計與發展、教學原理與方法、學習評量與測驗、教育評鑑及研究等。,01113 特殊教育細學類,培育特殊教育學術研究與教學之人才，提供進修機會與地區性特殊教育推廣與輔導工作，達成零拒絕與融合教育的理想，使學生具備教育特殊學生之專業知能與精神，能研發設計特殊教育的課程教學和科技輔具等，以滿足特殊學生之需求。
01 教育領域,屬於該領域之學類教導學生學習和教學有關的理論、方法、實務及相關的研究、行政和支援服務。,011 教育學門,包括教育學、學前教育、普通科目學科教學、專業科目學科教學等學類。,0111 教育學學類,學習將知識和能力傳授給他人的理論、方法和技能。相關課程及資格包含：教育哲學、教育史、教育心理學、教育社會學、教育行政與政策、教育領導、課程設計與發展、教學原理與方法、學習評量與測驗、教育評鑑及研究等。,01114 教育行政細學類,培育從事各類教育和學校行政、政策、領導的教學和學術研究之人才，提供各級各類教育行政及學校行政人員進修之機會，進行各類教育行政、政策與領導的研究，使學生具備領導、經營與管理的能力。
01 教育領域,屬於該領域之學類教導學生學習和教學有關的理論、方法、實務及相關的研究、行政和支援服務。,011 教育學門,包括教育學、學前教育、普通科目學科教學、專業科目學科教學等學類。,0111 教育學學類,學習將知識和能力傳授給他人的理論、方法和技能。相關課程及資格包含：教育哲學、教育史、教育心理學、教育社會學、教育行政與政策、教育領導、課程設計與發展、教學原理與方法、學習評量與測驗、教育評鑑及研究等。,01115 課程與教學細學類,培育課程與教學學術領域的教學和研究人才，使學生具備課程與教學的理論基礎、設計、實施、評鑑和改革的能力，理解並參與學校或地方、國家層級的課程決定，及以課程教學為主結合其他學術領域的能力。
01 教育領域,屬於該領域之學類教導學生學習和教學有關的理論、方法、實務及相關的研究、行政和支援服務。,011 教育學門,包括教育學、學前教育、普通科目學科教學、專業科目學科教學等學類。,0111 教育學學類,學習將知識和能力傳授給他人的理論、方法和技能。相關課程及資格包含：教育哲學、教育史、教育心理學、教育社會學、教育行政與政策、教育領導、課程設計與發展、教學原理與方法、學習評量與測驗、教育評鑑及研究等。,01116 教育科技細學類,培育將視聽媒體、電腦網路及其他科技應用於課程、教學和學習的人才，使學生具備規劃、設計、發展、實施、管理及評鑑多媒體教學資源之能力。
01 教育領域,屬於該領域之學類教導學生學習和教學有關的理論、方法、實務及相關的研究、行政和支援服務。,011 教育學門,包括教育學、學前教育、普通科目學科教學、專業科目學科教學等學類。,0111 教育學學類,學習將知識和能力傳授給他人的理論、方法和技能。相關課程及資格包含：教育哲學、教育史、教育心理學、教育社會學、教育行政與政策、教育領導、課程設計與發展、教學原理與方法、學習評量與測驗、教育評鑑及研究等。,01117 教育測驗評量細學類,培育教育測驗及學習評量之人才，使學生能以統計為工具處理教育資料，包含全國性、地方性、學校性及班級性的教育資料蒐集、統計、分析、解釋及應用資料的能力。
01 教育領域,屬於該領域之學類教導學生學習和教學有關的理論、方法、實務及相關的研究、行政和支援服務。,011 教育學門,包括教育學、學前教育、普通科目學科教學、專業科目學科教學等學類。,0111 教育學學類,學習將知識和能力傳授給他人的理論、方法和技能。相關課程及資格包含：教育哲學、教育史、教育心理學、教育社會學、教育行政與政策、教育領導、課程設計與發展、教學原理與方法、學習評量與測驗、教育評鑑及研究等。,01118 技職教育細學類,培育技職教育的教學和研究人才，學習者應學習技職教育的理論、方法及實務，認識各類技職教育的現況和發展背景，能規劃、設計、發展、實施、管理及評鑑技職教育方案，並具有技職教育研究發展和改革的能力。
01 教育領域,屬於該領域之學類教導學生學習和教學有關的理論、方法、實務及相關的研究、行政和支援服務。,011 教育學門,包括教育學、學前教育、普通科目學科教學、專業科目學科教學等學類。,0112 幼兒師資教育學類,學習幼兒教育發展階段的正式或非正式教育環境中，教導幼兒的知識與能力。相關課程及資格包含：研究及教導幼兒的理論、方法及實務，例如幼兒教學（在正式學校環境中）、幼兒教育師資培育等。,01121 幼兒師資教育細學類,培育優秀的幼兒教育人才，提供現職人員進修機會。學習者應學習幼兒教育相關的專業知識、技能和情意的課程，包含幼教行政與政策、幼兒學習與輔導、幼教課程與教學、幼兒學習評估、班級經營管理等課程。
01 教育領域,屬於該領域之學類教導學生學習和教學有關的理論、方法、實務及相關的研究、行政和支援服務。,011 教育學門,包括教育學、學前教育、普通科目學科教學、專業科目學科教學等學類。,0113 普通科目師資教育學類,學習教導中小學學生的教育理論、方法及實務，使其在閱讀、寫作及數學方面具有基本的知識和技能，同時在歷史、地理、社會、自然、科技等方面，亦具有基礎的知能，做為終身學習的基礎。相關課程及資格包含：級任導師培育、原住民師資培育、中小學各科教師培育、特教教師培育、成人識字或進修教育的師資培育等。,01131 普通科目師資教育細學類,培育普通科目的教學與研究人才，包括國語/國文、本土語文/新住民語文、英語、第二外語、社會（公民、歷史、地理）、數學、自然（地球科學、物理、化學、生物）、科技（生活科技、資訊）、健康與體育、藝術、綜合活動等領域。
