"統計期","畢業年","總計/ 總計","總計/ 教育學門","總計/ 藝術學門","總計/ 人文學門","總計/ 語文學門","總計/ 社會及行為科學學門","總計/ 新聞學及圖書資訊學門","總計/ 商業及管理學門","總計/ 法律學門","總計/ 生命科學學門","總計/ 環境學門","總計/ 物理、化學及地球科學學門","總計/ 數學及統計學門","總計/ 資訊通訊科技學門","總計/ 工程及工程業學門","總計/ 製造及加工學門","總計/ 建築及營建工程學門","總計/ 農業學門","總計/ 林業學門","總計/ 漁業學門","總計/ 獸醫學門","總計/ 醫藥衛生學門","總計/ 社會福利學門","總計/ 餐旅及民生服務學門","總計/ 衛生及職業衛生服務學門","總計/ 安全服務學門","總計/ 運輸服務學門","總計/ 其他學門","博士/ 總計","博士/ 教育學門","博士/ 藝術學門","博士/ 人文學門","博士/ 語文學門","博士/ 社會及行為科學學門","博士/ 新聞學及圖書資訊學門","博士/ 商業及管理學門","博士/ 法律學門","博士/ 生命科學學門","博士/ 環境學門","博士/ 物理、化學及地球科學學門","博士/ 數學及統計學門","博士/ 資訊通訊科技學門","博士/ 工程及工程業學門","博士/ 製造及加工學門","博士/ 建築及營建工程學門","博士/ 農業學門","博士/ 林業學門","博士/ 漁業學門","博士/ 獸醫學門","博士/ 醫藥衛生學門","博士/ 社會福利學門","博士/ 餐旅及民生服務學門","博士/ 衛生及職業衛生服務學門","博士/ 安全服務學門","博士/ 運輸服務學門","博士/ 其他學門","碩士/ 總計","碩士/ 教育學門","碩士/ 藝術學門","碩士/ 人文學門","碩士/ 語文學門","碩士/ 社會及行為科學學門","碩士/ 新聞學及圖書資訊學門","碩士/ 商業及管理學門","碩士/ 法律學門","碩士/ 生命科學學門","碩士/ 環境學門","碩士/ 物理、化學及地球科學學門","碩士/ 數學及統計學門","碩士/ 資訊通訊科技學門","碩士/ 工程及工程業學門","碩士/ 製造及加工學門","碩士/ 建築及營建工程學門","碩士/ 農業學門","碩士/ 林業學門","碩士/ 漁業學門","碩士/ 獸醫學門","碩士/ 醫藥衛生學門","碩士/ 社會福利學門","碩士/ 餐旅及民生服務學門","碩士/ 衛生及職業衛生服務學門","碩士/ 安全服務學門","碩士/ 運輸服務學門","碩士/ 其他學門","學士/ 總計","學士/ 教育學門","學士/ 藝術學門","學士/ 人文學門","學士/ 語文學門","學士/ 社會及行為科學學門","學士/ 新聞學及圖書資訊學門","學士/ 商業及管理學門","學士/ 法律學門","學士/ 生命科學學門","學士/ 環境學門","學士/ 物理、化學及地球科學學門","學士/ 數學及統計學門","學士/ 資訊通訊科技學門","學士/ 工程及工程業學門","學士/ 製造及加工學門","學士/ 建築及營建工程學門","學士/ 農業學門","學士/ 林業學門","學士/ 漁業學門","學士/ 獸醫學門","學士/ 醫藥衛生學門","學士/ 社會福利學門","學士/ 餐旅及民生服務學門","學士/ 衛生及職業衛生服務學門","學士/ 安全服務學門","學士/ 運輸服務學門","學士/ 其他學門"
"112年 1月","109年畢業",42432,41547,33504,36364,35058,40521,35810,41186,45493,38977,39413,58114,44116,46624,53291,35760,41527,38856,35641,36019,40226,47495,35510,33224,39966,36187,41909,45014,79717,59075,62433,69782,57364,61913,(D),74444,(D),68366,(D),77598,(D),98424,89128,(D),66260,68433,(D),(D),(D),81968,(D),(D),－,－,(D),(D),60601,49386,44166,42714,43868,47828,47024,60085,61935,47364,45670,65206,55752,67304,69878,44296,50671,47140,42339,42919,42496,54911,46823,44310,52336,(D),55482,53117,37239,37886,32292,34181,34575,37093,34169,35853,36285,33336,34369,40650,37790,38114,41312,32405,37191,34600,33014,33512,38355,48301,35171,32783,36448,34875,38966,43395
"112年 1月","110年畢業",41609,41643,32433,35307,34018,39346,34444,40625,43681,39280,38569,57297,42726,46253,52252,35247,39271,37685,34076,34642,38214,45830,34872,32147,39301,34194,39658,47067,77503,63513,68789,58096,54233,63562,(D),81915,(D),66793,(D),77765,(D),86881,85443,57143,66196,(D),－,(D),(D),79389,(D),(D),－,－,(D),(D),59256,48754,42808,40959,44433,46295,46227,59202,55986,47185,44470,63063,54602,65996,68216,43427,48261,44506,40758,41003,44816,53189,44138,42956,53305,(D),52335,58382,36005,37377,31147,33123,33418,35432,32305,34719,34102,32415,33153,37499,35597,36504,39098,31843,35112,33595,32265,32203,35309,47050,34555,31735,35423,33729,36389,44519
"112年 1月","111年畢業",39250,39590,31286,34879,32587,38097,33138,39829,43702,37491,39955,49946,40859,45573,47976,33637,38044,36100,33865,34582,36049,41505,34124,31022,37222,32120,38094,52580,74609,62339,56556,58585,59837,65371,(D),72106,(D),65228,(D),70129,(D),86616,81874,(D),75129,(D),(D),(D),(D),77525,(D),(D),－,－,(D),(D),56018,47183,41009,41386,42881,45237,45555,58770,55419,45587,47224,55470,50948,64477,62780,41364,46351,44221,41648,42343,39538,50775,44716,41866,50156,(D),51690,67207,33898,32716,30011,32229,31847,33665,31002,33081,33163,31213,30955,34134,33092,35358,35804,30635,34043,31315,30652,30399,32748,41869,33585,30482,34510,32082,34248,36073
"112年 7月","109年畢業",43442,40773,34178,36863,35830,41848,37169,42261,46144,40130,40156,60352,44856,48017,54383,36675,43106,39783,36227,37444,42240,48569,36184,33993,40970,37899,43227,45844,81794,60710,63707,71006,59333,60106,(D),75278,(D),69326,(D),80830,(D),99940,90924,(D),67955,(D),(D),(D),(D),84942,(D),(D),－,－,(D),(D),62668,49376,44741,43276,42967,49516,50217,61272,64097,48827,46835,67975,57885,70117,72239,45310,52359,48030,43381,44468,45198,56889,46878,44811,53166,(D),57139,48129,37991,36910,33042,34987,35490,38424,35261,36946,37309,34420,34767,40823,38084,38850,41378,33282,38745,35508,33584,34965,40274,49118,35850,33640,37422,36502,40217,49029
"112年 7月","110年畢業",42782,40692,33197,36349,34939,40231,35682,41729,44961,40149,39385,59606,43640,47643,53985,36089,40954,38724,34975,35626,39031,46954,35509,33023,40251,35403,40437,47330,80582,65531,68053,61413,59552,66280,(D),81840,(D),70101,(D),80614,(D),89410,89177,57633,67116,(D),－,(D),(D),81615,(D),(D),－,－,(D),(D),61391,48700,42978,41421,44532,47315,47146,60627,58049,48690,44938,66154,56494,68432,70740,44300,50708,45801,41919,42248,43070,55242,45291,43758,52073,(D),53364,57336,36896,35805,32070,34352,34405,36508,33561,35788,35760,33285,33865,38714,36560,37629,40297,32743,36514,34532,33269,33276,36575,47566,35078,32663,36857,34875,37168,43714
"112年 7月","111年畢業",40754,38761,31914,35128,33429,38687,34035,40477,43705,38101,39762,52613,41335,46271,49922,34606,39527,36920,35609,35521,38421,44093,34964,32065,38543,32588,40213,53712,77583,62232,61546,62395,61589,66223,(D),74426,(D),67985,(D),73277,(D),89751,86827,(D),74137,(D),(D),(D),(D),77190,(D),(D),－,－,(D),(D),58124,46711,40423,40509,42299,46024,46237,59264,56937,45982,47037,58964,52178,65930,65671,42359,48229,45867,42414,43567,41415,52069,44764,42073,49289,(D),52658,67759,35306,33603,30877,33205,32958,34985,32092,34338,33758,32083,32070,36502,34663,36312,37229,31692,35458,32145,32433,31885,34948,44895,34528,31632,36375,32567,36847,39743
"112年 7月","112年畢業",38859,38218,31878,34115,32453,38262,33810,42214,47367,38331,36269,47182,36356,41961,42541,32083,37304,34466,30999,33718,36803,42532,33744,31774,37162,32269,37875,48704,74600,57829,68294,58891,67073,65432,(D),75366,(D),68765,(D),66253,－,85632,82218,(D),54019,(D),(D),(D),(D),81182,(D),(D),－,－,(D),(D),57283,45871,40851,39781,40806,46094,45346,63404,57527,48469,39719,54782,48687,61821,62651,39137,47535,44323,35445,42573,41586,56684,44319,44792,52385,(D),53408,58871,33180,31154,30104,31588,31752,32838,31329,33094,34997,31314,31338,32268,32198,33542,33825,30116,34140,30928,29690,29602,28833,40179,33112,31064,34986,30902,33878,33965
"113年 1月","109年畢業",44977,43005,35642,38283,37271,43394,38646,43888,47777,41414,42181,61023,47110,49514,55772,37912,44946,41037,37108,38584,44116,50675,37462,35415,42357,39186,44932,46281,83180,61697,64540,66861,57878,61625,(D),76936,(D),72196,(D),81838,(D),101604,93049,(D),71246,(D),(D),(D),(D),86229,(D),(D),－,－,(D),(D),63914,51038,46472,44578,45116,50796,51463,62908,66399,49842,49106,68493,60412,71704,73545,46752,54137,49417,44192,45820,47585,58466,47506,46242,54223,(D),57821,50040,39633,39225,34417,36507,36864,40073,36869,38596,39326,35875,36825,42758,40147,40489,43017,34372,40554,37009,34832,36334,42039,51411,37137,35016,39220,37781,41915,48886
"113年 1月","110年畢業",44254,43193,34554,37744,36367,42150,37384,43250,46124,41250,40135,60279,45265,49193,55485,37479,42520,40122,36237,36592,40190,48725,36832,34532,41287,36525,42491,47545,81474,69410,68256,61380,57209,67922,(D),81370,(D),70183,(D),82402,(D),90630,90398,63555,66048,(D),－,(D),(D),82024,(D),(D),－,－,(D),(D),62419,50388,44596,43198,46460,48776,49217,61762,59110,49735,46083,66558,57645,69995,71917,45379,52250,47434,42968,43951,44278,56550,46084,45075,53450,(D),54507,57894,38613,38806,33363,35802,35781,38581,35289,37466,38144,34527,34831,42370,38330,39430,42393,34086,38207,35981,34681,34153,38140,49560,36470,34160,38083,35974,39537,43239
"113年 1月","111年畢業",42313,42116,33350,36587,35168,40445,35293,41696,44044,39400,41121,54371,42989,47202,51364,35998,41226,37886,36742,36750,39609,46741,36394,33630,40044,33640,41489,55043,79169,64698,63580,62014,60473,70044,(D),75989,(D),69616,(D),75158,(D),89830,87470,(D),76961,(D),(D),(D),(D),79127,(D),(D),－,－,(D),(D),59502,49493,42384,42993,44560,47522,47356,60379,58346,47030,48944,60482,53446,67010,67297,44385,50184,46686,43381,46222,43058,53731,45614,44171,49569,(D),54491,67466,37013,37995,32252,34588,34615,36814,33541,35924,35120,33584,33450,37522,36531,37519,38741,32948,37131,33451,33526,33288,36831,47850,35974,33182,38067,33504,38214,42779
"113年 1月","112年畢業",40553,40859,32830,35690,33736,39569,34412,41533,44965,38424,38855,50617,39886,45396,48636,34212,39895,36112,34278,35455,36738,43241,35541,32903,38672,35195,39366,49735,75052,61255,74242,63461,61071,67534,(D),79818,(D),66706,(D),71408,(D),87041,81755,60385,64542,(D),(D),(D),(D),78375,(D),(D),－,－,(D),(D),55886,49270,42093,41578,42633,45907,44785,60048,55831,44239,42477,54591,49253,61886,61928,40237,47844,42936,39300,42039,40689,52439,46262,45584,48745,(D),53920,62571,35224,33493,31312,32891,32948,34649,32383,34314,34804,32431,32014,33697,34043,35653,36279,31759,35944,32289,31344,31701,34641,43543,35004,32212,36563,33827,35156,37965
"113年 7月","109年畢業",46610,43483,36687,39497,38531,45226,39984,45478,49382,42763,43587,64145,48772,51296,58046,39007,46827,42249,37854,39391,44958,52349,38443,36478,43991,40223,46495,47130,86983,61345,68116,69948,62463,63209,(D),79924,(D),73943,(D),87010,(D),106888,96701,(D),73349,(D),(D),(D),(D),89510,(D),(D),－,－,(D),(D),66601,52638,47757,45698,45650,52787,51870,64977,68488,52108,50249,72134,62379,74718,76730,48504,56310,51591,44833,47217,45847,60205,49073,47101,57577,(D),60882,49496,41003,39224,35495,37743,38189,41849,38283,40035,41094,37008,38333,43914,41749,41828,44646,35482,42261,38027,36041,36954,43882,53119,38117,36131,40341,38888,43227,49095
"113年 7月","110年畢業",45824,43416,35587,38808,37433,43671,38907,44894,48002,42620,41734,63365,46658,50766,57576,38389,44583,41733,37107,38476,42680,50695,37705,35557,42733,38168,43502,47680,84662,67419,69449,56027,61763,69115,(D),84217,(D),72663,(D),87338,(D),90594,93626,63359,70233,(D),－,(D),(D),86588,(D),(D),－,－,(D),－,65121,51146,45778,44181,46729,51082,51225,64044,61887,51996,48513,70212,59932,72719,74941,46831,54879,48810,44615,45912,48547,59016,47017,45750,55746,(D),56309,59231,39845,38842,34457,37165,36901,39948,36702,38960,39922,35517,36195,41600,39314,40471,43560,34897,39874,37785,35283,36092,40178,51410,37368,35244,39379,37600,40400,42544
"113年 7月","111年畢業",43881,41947,34326,37509,36244,41967,36891,43306,45955,40765,42725,56971,44464,48719,53578,37205,42954,38752,38152,38186,42045,48387,37330,34775,41736,35591,43646,56699,82916,64775,69736,63555,60728,71122,－,76605,(D),72946,(D),79294,(D),97623,92074,(D),79705,(D),(D),(D),(D),82197,(D),(D),－,－,(D),(D),62032,50021,43190,44002,46109,49743,49806,62553,60590,49005,50182,64069,55892,69346,69986,45935,52611,48170,44428,46372,47571,55617,47819,45458,53107,(D),58153,71350,38310,37553,33283,35654,35739,38271,35043,37376,37417,34928,35575,38891,37840,38917,40596,33977,38697,34336,34908,34590,38422,49185,36810,34370,39557,35050,40106,43439
"113年 7月","112年畢業",42207,40445,33451,36247,34838,40394,35344,42302,45998,39031,39733,53707,41327,46163,49870,35551,41014,37396,35468,36359,38682,46638,36595,33826,39196,34697,41763,47512,79521,67468,76187,57792,67691,68864,(D),85550,(D),72211,(D),77195,(D),91130,86913,(D),62918,(D),(D),(D),(D),79052,(D),(D),－,－,(D),(D),58329,49563,42528,42001,42501,47552,45763,60884,58774,45443,45339,59223,51421,63357,64387,42260,49866,44884,40572,43990,42226,54457,47100,45953,48216,(D),56223,60849,36828,34813,32254,34139,34331,36316,33646,35880,36154,33505,33557,36264,35784,37104,37680,32824,37015,33612,33049,33095,36416,47538,36161,33250,37674,33826,38073,37069
"113年 7月","113年畢業",41777,40656,33438,36179,34393,41483,37149,45942,46874,40882,41156,51736,40839,45141,45311,34347,39968,37851,32608,35822,36021,45109,35708,33548,36927,35178,41580,41008,77021,59212,52577,46192,(D),68445,(D),72328,(D),74328,(D),72460,(D),93994,80214,(D),72787,(D),(D),(D),(D),91616,(D),(D),－,－,(D),(D),59181,47768,42666,43959,42457,49989,48523,66410,55508,51756,47662,58087,50625,62685,62641,40531,48808,48128,37289,38936,42681,59314,46670,46155,48674,(D),56099,50434,35040,32946,31387,32275,33766,34663,33000,34858,34377,31878,32758,34057,33985,35616,35939,31819,36540,31367,31184,34236,28646,42198,34930,32659,34648,33773,36345,38465
"114年 1月","109年畢業",48105,45521,37992,40528,40037,46931,41527,46975,51143,44252,44850,66369,50765,52785,59865,40348,48521,43952,39462,41053,47433,53635,39879,37826,45345,42592,47795,50227,87942,64045,63782,60785,60027,65605,(D),81704,(D),76945,(D),90518,(D),108806,97769,(D),74244,(D),(D),(D),(D),90338,(D),(D),－,－,(D),(D),68315,53942,49251,46893,48090,54158,53653,66610,70629,53849,52231,74521,64216,76097,79121,50272,58101,53389,47836,48965,48954,61361,50025,48603,58328,(D),62516,51682,42464,41374,36751,38909,39627,43753,39803,41548,42929,38450,39294,46401,43756,43371,46349,36630,43902,39734,37380,38688,45856,54372,39550,37425,42071,41176,44595,57533
"114年 1月","110年畢業",47429,45300,36901,40508,38925,45231,40296,46434,49295,44117,42977,64975,48487,52328,59384,39976,46302,42586,38526,39160,44922,52742,39222,36947,43756,40090,45674,50490,85866,62627,72066,54242,59595,72885,(D),85215,(D),73648,(D),89511,(D),93588,95829,65576,76474,(D),－,(D),(D),86843,(D),(D),－,－,(D),－,66819,52784,47452,46421,48459,52680,52411,65516,63609,53830,49883,71924,61682,74778,77154,49235,56334,50297,46436,46181,49174,60342,48713,48116,55495,(D),58183,61686,41509,41045,35700,38787,38355,41581,38237,40619,41682,36861,37407,44549,41464,42065,45328,36203,41712,38522,36560,36788,42982,53717,38884,36552,40783,39554,42423,46329
