"統計期","畢業年","博士/ 電機與電子工程細學類","碩士/ 電機與電子工程細學類","學士/ 電機與電子工程細學類"
"113年 1月","110年畢業",99387,75821,43731
"113年 1月","111年畢業",93886,71239,39386
"113年 1月","112年畢業",90536,67765,37006
"113年 7月","110年畢業",103498,78947,44535
"113年 7月","111年畢業",97482,73641,41229
"113年 7月","112年畢業",94742,68853,38334
"113年 7月","113年畢業",86015,66584,36314
"114年 1月","110年畢業",106044,81216,46690
"114年 1月","111年畢業",99151,75699,44472
"114年 1月","112年畢業",95822,71033,40610
"114年 1月","113年畢業",90179,68320,39078
"114年 7月","110年畢業",109258,85074,48358
"114年 7月","111年畢業",101801,78950,44932
"114年 7月","112年畢業",100653,74147,42623
"114年 7月","113年畢業",95000,70314,41152
"114年 7月","114年畢業",92063,69080,38036
"115年 1月","110年畢業",111361,86950,50608
"115年 1月","111年畢業",102889,81244,47309
"115年 1月","112年畢業",102324,76268,46060
"115年 1月","113年畢業",96542,73340,43414
"115年 1月","114年畢業",95841,70048,40838

